127.0.0.1 - - [06/May/2021:07:49:32 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:33 +0700] "GET /ministore/login.jsp HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/dist/css/adminlte.min.css HTTP/1.1" 200 740295
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/plugins/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/dist/js/adminlte.min.js HTTP/1.1" 200 40832
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/plugins/fontawesome-free/webfonts/fa-solid-900.eot? HTTP/1.1" 200 204814
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:34 +0700] "GET /ministore/plugins/fontawesome-free/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34350
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:44 +0700] "GET /ministore/login.jsp HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /ministore/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /ministore/dist/js/adminlte.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /ministore/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /ministore/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /ministore/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /ministore/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /ministore/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:45 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:49 +0700] "POST /ministore/SignInController HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:52 +0700] "POST /ministore/SignInController HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:53 +0700] "POST /ministore/SignInController HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:54 +0700] "POST /ministore/SignInController HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:55 +0700] "POST /ministore/SignInController HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:56 +0700] "POST /ministore/SignInController HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:57 +0700] "POST /ministore/SignInController HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [06/May/2021:07:49:58 +0700] "GET /ministore/forget-password.jsp HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [06/May/2021:07:50:04 +0700] "GET /ministore/register.jsp HTTP/1.1" 200 10185
0:0:0:0:0:0:0:1 - - [06/May/2021:07:50:15 +0700] "POST /ministore/AjaxUser HTTP/1.1" 200 7
